state,year,candidate,party,votes
Tripura,2014,Rajiv Das,Independent,517653
Arunachal Pradesh,2014,Meena Chopra,AITC,600365
Himachal Pradesh,2014,Simran Kaur,Independent,275058
Karnataka,2014,Karthik Reddy,Independent,435010
Andhra Pradesh,2024,Rajesh Nair,SP,212484
Karnataka,2014,Rajesh Nair,BJP,283626
Kerala,2019,Manoj Singh,Independent,237107
Chhattisgarh,2014,Sonal Tiwari,AITC,314932
Sikkim,2019,Neha Kulkarni,INC,588497
Mizoram,2024,Amit Sharma,Independent,190465
Andhra Pradesh,2019,Prakash Yadav,AITC,181733
Punjab,2019,Pooja Desai,AITC,262285
Delhi,2024,Deepak Chawla,AITC,269709
Goa,2014,Rajesh Nair,SP,210054
Tamil Nadu,2014,Neha Kulkarni,BJP,112195
Arunachal Pradesh,2024,Prakash Yadav,Independent,523952
Andhra Pradesh,2024,Sonal Tiwari,SP,243652
Meghalaya,2019,Meena Chopra,INC,307732
Uttarakhand,2019,Kiran Rao,INC,227451
Tripura,2019,Deepak Chawla,BJP,623807
Bihar,2024,Deepak Chawla,AITC,389738
Uttar Pradesh,2024,Neha Kulkarni,Independent,69258
Himachal Pradesh,2019,Ramesh Gowda,Independent,526055
Bihar,2014,Vinod Joshi,BJP,506175
Arunachal Pradesh,2024,Suresh Patel,INC,210071
Meghalaya,2014,Prakash Yadav,Independent,641756
Andhra Pradesh,2024,Alok Verma,Independent,686510
Jharkhand,2019,Pooja Desai,BJP,607273
Himachal Pradesh,2019,Rajiv Das,SP,235762
Telangana,2014,Prakash Yadav,Independent,85149
Manipur,2024,Rajiv Das,BJP,272730
Kerala,2014,Pallavi Sharma,AITC,573094
Delhi,2014,Pooja Desai,INC,317129
Assam,2024,Rajesh Nair,AITC,633177
Haryana,2019,Neha Kulkarni,BJP,254143
Bihar,2024,Karthik Reddy,Independent,392376
Arunachal Pradesh,2019,Pooja Desai,SP,493124
Himachal Pradesh,2014,Rajiv Das,BJP,277933
Haryana,2014,Prakash Yadav,SP,331625
Andhra Pradesh,2019,Amit Sharma,INC,357299
Haryana,2024,Alok Verma,INC,381958
Delhi,2019,Pallavi Sharma,Independent,216692
Odisha,2019,Karthik Reddy,SP,576766
Odisha,2019,Meena Chopra,BJP,434425
Assam,2019,Kiran Rao,INC,636399
Haryana,2014,Ramesh Gowda,BJP,134031
Tripura,2014,Meena Chopra,AITC,224578
Karnataka,2024,Vikram Gupta,Independent,611951
Bihar,2024,Anita Menon,Independent,644347
Kerala,2024,Simran Kaur,INC,262165
Goa,2024,Sonal Tiwari,INC,450956
Telangana,2014,Kiran Rao,Independent,698784
Madhya Pradesh,2024,Rajiv Das,BJP,607626
Goa,2019,Manoj Singh,SP,629570
Mizoram,2024,Pallavi Sharma,BJP,478483
Chhattisgarh,2019,Pooja Desai,AITC,291993
Punjab,2024,Anita Menon,INC,618307
Sikkim,2014,Anita Menon,AITC,289843
Assam,2019,Pooja Desai,AITC,101560
Uttar Pradesh,2019,Amit Sharma,AITC,406205
Punjab,2024,Simran Kaur,Independent,541426
Meghalaya,2024,Kiran Rao,INC,625902
Tripura,2019,Amit Sharma,SP,294270
Assam,2019,Pooja Desai,BJP,316952
Himachal Pradesh,2014,Neha Kulkarni,SP,365641
Maharashtra,2019,Simran Kaur,SP,634666
Bihar,2019,Pooja Desai,BJP,150446
Maharashtra,2014,Pallavi Sharma,INC,491283
Meghalaya,2019,Suresh Patel,AITC,322369
Tripura,2014,Simran Kaur,INC,200400
Kerala,2019,Rajesh Nair,Independent,89300
Telangana,2019,Rajesh Nair,SP,655915
Goa,2014,Meena Chopra,SP,255415
Nagaland,2019,Manoj Singh,INC,191545
West Bengal,2024,Vinod Joshi,SP,264283
Odisha,2024,Vinod Joshi,AITC,160267
Andhra Pradesh,2024,Kiran Rao,AITC,77050
Uttarakhand,2014,Sonal Tiwari,INC,359391
Meghalaya,2014,Anita Menon,BJP,255712
Haryana,2014,Pooja Desai,SP,321985
Himachal Pradesh,2024,Alok Verma,INC,650315
Telangana,2014,Sonal Tiwari,SP,62798
Rajasthan,2014,Simran Kaur,AITC,141139
Sikkim,2019,Prakash Yadav,SP,216070
Kerala,2024,Amit Sharma,SP,536670
Jharkhand,2014,Karthik Reddy,INC,579961
Kerala,2019,Manoj Singh,INC,234001
Gujarat,2014,Meena Chopra,SP,451552
Delhi,2024,Manoj Singh,INC,596151
Karnataka,2019,Simran Kaur,INC,281959
Meghalaya,2014,Amit Sharma,SP,584894
Sikkim,2019,Prakash Yadav,Independent,443148
Nagaland,2014,Manoj Singh,Independent,509203
Tamil Nadu,2014,Prakash Yadav,Independent,258834
Tamil Nadu,2019,Deepak Chawla,SP,412026
Meghalaya,2014,Manoj Singh,Independent,691670
Goa,2019,Rajesh Nair,SP,215215
West Bengal,2019,Neha Kulkarni,Independent,485006
West Bengal,2019,Simran Kaur,BJP,264479
West Bengal,2014,Kiran Rao,INC,180827
Goa,2014,Deepak Chawla,SP,207030
Uttar Pradesh,2019,Deepak Chawla,SP,595624
Mizoram,2019,Pallavi Sharma,BJP,208990
Haryana,2019,Pallavi Sharma,Independent,665010
West Bengal,2014,Alok Verma,INC,266232
Punjab,2024,Neha Kulkarni,INC,514723
Rajasthan,2019,Alok Verma,Independent,395413
Chhattisgarh,2014,Suresh Patel,INC,463718
Uttar Pradesh,2024,Meena Chopra,Independent,162015
Chhattisgarh,2024,Vikram Gupta,INC,151102
West Bengal,2024,Karthik Reddy,AITC,655881
Meghalaya,2019,Anita Menon,Independent,540931
Tamil Nadu,2024,Vikram Gupta,AITC,226309
Chhattisgarh,2014,Vinod Joshi,SP,438059
Tamil Nadu,2019,Prakash Yadav,AITC,382190
Assam,2019,Vikram Gupta,SP,139311
Kerala,2024,Kiran Rao,Independent,338865
Arunachal Pradesh,2014,Karthik Reddy,Independent,344053
Odisha,2024,Kiran Rao,Independent,441214
Uttar Pradesh,2019,Neha Kulkarni,Independent,465330
Gujarat,2014,Alok Verma,BJP,309416
Goa,2019,Meena Chopra,SP,560089
Tamil Nadu,2024,Prakash Yadav,BJP,251462
Tripura,2019,Vinod Joshi,INC,465549
Manipur,2024,Anita Menon,SP,456844
Uttar Pradesh,2019,Ramesh Gowda,BJP,61953
Chhattisgarh,2024,Anita Menon,BJP,374187
Delhi,2014,Manoj Singh,AITC,128102
Odisha,2019,Deepak Chawla,AITC,517356
Bihar,2024,Anita Menon,AITC,666146
Meghalaya,2014,Karthik Reddy,AITC,184097
Chhattisgarh,2024,Manoj Singh,Independent,272234
Mizoram,2019,Deepak Chawla,AITC,384200
Tripura,2019,Prakash Yadav,BJP,64061
Tamil Nadu,2019,Prakash Yadav,INC,479025
Assam,2014,Manoj Singh,INC,131883
Odisha,2019,Rajiv Das,BJP,78390
Bihar,2024,Rajiv Das,BJP,536464
Chhattisgarh,2024,Neha Kulkarni,BJP,156482
Bihar,2014,Deepak Chawla,Independent,186690
Delhi,2014,Meena Chopra,SP,394397
Karnataka,2024,Deepak Chawla,SP,582966
Uttar Pradesh,2014,Vikram Gupta,BJP,53298
Sikkim,2014,Rajiv Das,Independent,224957
Karnataka,2024,Pooja Desai,AITC,524876
Odisha,2024,Rajesh Nair,Independent,189821
Karnataka,2024,Deepak Chawla,AITC,389953
Maharashtra,2019,Manoj Singh,Independent,411400
Bihar,2024,Rajiv Das,SP,81419
Jharkhand,2024,Sonal Tiwari,Independent,618235
Sikkim,2024,Simran Kaur,SP,378377
Madhya Pradesh,2014,Rajiv Das,AITC,108727
Telangana,2014,Suresh Patel,SP,505359
Nagaland,2019,Vikram Gupta,AITC,103265
Tripura,2014,Pallavi Sharma,SP,607951
Manipur,2014,Deepak Chawla,SP,485556
Madhya Pradesh,2014,Rajiv Das,SP,225129
Tamil Nadu,2024,Amit Sharma,SP,632664
Gujarat,2014,Sonal Tiwari,Independent,569204
Uttar Pradesh,2014,Neha Kulkarni,BJP,87377
Chhattisgarh,2024,Deepak Chawla,AITC,142044
Sikkim,2019,Prakash Yadav,AITC,97979
Tamil Nadu,2024,Suresh Patel,INC,370887
Arunachal Pradesh,2024,Kiran Rao,Independent,585796
West Bengal,2019,Amit Sharma,BJP,265061
Arunachal Pradesh,2024,Prakash Yadav,INC,606056
Tripura,2019,Alok Verma,INC,604205
Gujarat,2019,Prakash Yadav,Independent,603396
Karnataka,2019,Neha Kulkarni,Independent,221160
Mizoram,2014,Vikram Gupta,BJP,241174
Rajasthan,2024,Deepak Chawla,Independent,239629
Uttarakhand,2024,Deepak Chawla,BJP,170314
Maharashtra,2024,Pooja Desai,AITC,157673
Tamil Nadu,2019,Vinod Joshi,AITC,425673
Punjab,2024,Rajesh Nair,Independent,424756
Punjab,2024,Kiran Rao,BJP,402784
Jharkhand,2024,Suresh Patel,AITC,638840
West Bengal,2014,Deepak Chawla,Independent,516433
Himachal Pradesh,2014,Anita Menon,BJP,539213
Bihar,2024,Amit Sharma,AITC,187066
Nagaland,2019,Pallavi Sharma,Independent,382041
Haryana,2024,Rajesh Nair,BJP,675714
Assam,2019,Vinod Joshi,INC,175497
Chhattisgarh,2014,Deepak Chawla,BJP,670716
Karnataka,2024,Sonal Tiwari,SP,238171
Meghalaya,2014,Deepak Chawla,SP,380178
West Bengal,2024,Deepak Chawla,Independent,124160
Nagaland,2024,Rajesh Nair,Independent,360829
Punjab,2019,Alok Verma,AITC,184535
Madhya Pradesh,2024,Amit Sharma,SP,682945
Andhra Pradesh,2014,Neha Kulkarni,Independent,136786
Assam,2024,Prakash Yadav,BJP,496821
Uttar Pradesh,2019,Manoj Singh,AITC,625789
Telangana,2019,Alok Verma,BJP,414212
Arunachal Pradesh,2014,Pooja Desai,AITC,662276
Rajasthan,2019,Sonal Tiwari,BJP,349317
Goa,2024,Amit Sharma,BJP,174319
Meghalaya,2024,Rajiv Das,INC,698600
Haryana,2019,Alok Verma,AITC,142776
Tripura,2014,Prakash Yadav,BJP,543989
Bihar,2019,Anita Menon,AITC,114904
Chhattisgarh,2024,Rajiv Das,Independent,298573
Meghalaya,2014,Simran Kaur,Independent,498386
Bihar,2014,Deepak Chawla,AITC,535899
Kerala,2024,Neha Kulkarni,AITC,88264
Nagaland,2024,Rajesh Nair,SP,684339
Kerala,2014,Deepak Chawla,INC,318548
Maharashtra,2014,Kiran Rao,Independent,404339
Sikkim,2024,Suresh Patel,BJP,385013
Tamil Nadu,2014,Kiran Rao,BJP,218140
Sikkim,2024,Rajiv Das,AITC,123461
Meghalaya,2024,Kiran Rao,Independent,298449
Karnataka,2024,Kiran Rao,Independent,261948
Mizoram,2019,Simran Kaur,INC,94477
Maharashtra,2014,Prakash Yadav,Independent,144298
Jharkhand,2024,Meena Chopra,SP,581089
Uttarakhand,2019,Ramesh Gowda,BJP,682992
Rajasthan,2014,Prakash Yadav,SP,255957
Telangana,2014,Sonal Tiwari,Independent,693453
Sikkim,2019,Alok Verma,INC,276351
Andhra Pradesh,2014,Neha Kulkarni,AITC,528170
Haryana,2014,Neha Kulkarni,Independent,252335
Jharkhand,2014,Manoj Singh,INC,266628
Himachal Pradesh,2014,Sonal Tiwari,AITC,260738
Gujarat,2019,Amit Sharma,INC,349542
Uttarakhand,2014,Kiran Rao,SP,460646
Maharashtra,2024,Vikram Gupta,Independent,498118
Bihar,2024,Amit Sharma,BJP,651129
Chhattisgarh,2014,Vikram Gupta,AITC,224075
Andhra Pradesh,2019,Rajiv Das,Independent,367383
Sikkim,2019,Alok Verma,Independent,539575
Maharashtra,2014,Vinod Joshi,INC,244140
Uttar Pradesh,2019,Vinod Joshi,SP,478022
Haryana,2024,Kiran Rao,AITC,275086
Uttarakhand,2024,Meena Chopra,BJP,243232
Nagaland,2024,Ramesh Gowda,Independent,623351
Telangana,2014,Manoj Singh,BJP,389502
Madhya Pradesh,2014,Pooja Desai,INC,51349
Rajasthan,2019,Meena Chopra,INC,642652
Assam,2024,Kiran Rao,Independent,598231
Maharashtra,2014,Vinod Joshi,AITC,359794
Meghalaya,2024,Anita Menon,AITC,430166
Tripura,2014,Vinod Joshi,BJP,188889
Kerala,2024,Meena Chopra,INC,349580
Bihar,2019,Rajiv Das,Independent,97034
Bihar,2024,Neha Kulkarni,Independent,215532
Tamil Nadu,2014,Manoj Singh,Independent,171142
Karnataka,2014,Suresh Patel,INC,237744
Sikkim,2019,Pallavi Sharma,AITC,272430
Assam,2014,Amit Sharma,INC,318570
Himachal Pradesh,2014,Ramesh Gowda,AITC,97862
Madhya Pradesh,2014,Amit Sharma,AITC,647835
Assam,2024,Pallavi Sharma,Independent,359914
Tripura,2019,Rajesh Nair,SP,611141
Uttarakhand,2014,Deepak Chawla,BJP,452647
Maharashtra,2014,Prakash Yadav,AITC,190748
Maharashtra,2019,Rajesh Nair,SP,414529
Uttarakhand,2019,Simran Kaur,INC,150438
Maharashtra,2014,Pallavi Sharma,INC,436169
Arunachal Pradesh,2019,Prakash Yadav,SP,474183
Madhya Pradesh,2024,Vikram Gupta,INC,668743
Nagaland,2014,Prakash Yadav,Independent,210211
Nagaland,2024,Pooja Desai,Independent,231111
Telangana,2014,Prakash Yadav,BJP,386790
Himachal Pradesh,2024,Meena Chopra,SP,213720
Odisha,2019,Pooja Desai,AITC,310066
Tripura,2019,Amit Sharma,INC,332091
Bihar,2014,Suresh Patel,INC,662880
Telangana,2014,Alok Verma,BJP,662839
Jharkhand,2014,Prakash Yadav,AITC,278728
Jharkhand,2014,Suresh Patel,BJP,75355
Karnataka,2019,Alok Verma,Independent,256113
Nagaland,2024,Rajiv Das,INC,391249
Tamil Nadu,2024,Pallavi Sharma,Independent,218691
Meghalaya,2019,Alok Verma,BJP,383328
Nagaland,2019,Prakash Yadav,AITC,443379
Bihar,2019,Ramesh Gowda,BJP,149622
Odisha,2024,Meena Chopra,AITC,446250
Jharkhand,2014,Anita Menon,Independent,227165
Gujarat,2019,Kiran Rao,Independent,178233
Karnataka,2014,Manoj Singh,SP,272563
Tripura,2024,Simran Kaur,Independent,167945
Jharkhand,2024,Kiran Rao,BJP,514409
Delhi,2024,Karthik Reddy,AITC,364471
Punjab,2014,Alok Verma,Independent,214032
Telangana,2019,Anita Menon,SP,159333
Tripura,2014,Deepak Chawla,INC,242340
Jharkhand,2019,Prakash Yadav,BJP,130073
Goa,2024,Meena Chopra,BJP,379411
Goa,2019,Rajesh Nair,BJP,122380
Nagaland,2014,Simran Kaur,Independent,322982
Punjab,2014,Vikram Gupta,AITC,169842
Rajasthan,2014,Deepak Chawla,INC,603330
Odisha,2014,Alok Verma,SP,160946
Kerala,2024,Vinod Joshi,Independent,128788
Maharashtra,2024,Anita Menon,INC,121711
Maharashtra,2014,Ramesh Gowda,BJP,58684
Odisha,2024,Manoj Singh,SP,382221
Nagaland,2024,Prakash Yadav,SP,192442
Odisha,2014,Rajesh Nair,Independent,160638
Telangana,2019,Karthik Reddy,INC,587230
Himachal Pradesh,2014,Simran Kaur,AITC,196199
Manipur,2014,Vikram Gupta,BJP,405763
Nagaland,2019,Suresh Patel,Independent,170067
Karnataka,2024,Pooja Desai,Independent,185372
Andhra Pradesh,2014,Neha Kulkarni,BJP,614272
Haryana,2024,Rajesh Nair,INC,582245
Kerala,2014,Deepak Chawla,SP,500470
Manipur,2024,Pallavi Sharma,Independent,689519
Sikkim,2024,Pooja Desai,BJP,418126
Kerala,2014,Amit Sharma,INC,305619
Uttar Pradesh,2014,Meena Chopra,BJP,445302
Arunachal Pradesh,2014,Amit Sharma,BJP,133913
Chhattisgarh,2024,Sonal Tiwari,Independent,139284
Uttarakhand,2014,Ramesh Gowda,INC,181739
Kerala,2019,Deepak Chawla,Independent,508353
Chhattisgarh,2024,Meena Chopra,Independent,280455
Andhra Pradesh,2014,Manoj Singh,INC,109139
Telangana,2019,Simran Kaur,INC,339643
Bihar,2024,Manoj Singh,BJP,513495
West Bengal,2019,Anita Menon,SP,238681
Goa,2024,Prakash Yadav,INC,95502
Karnataka,2019,Rajiv Das,Independent,58132
Chhattisgarh,2024,Kiran Rao,INC,632190
Sikkim,2024,Kiran Rao,Independent,128346
Tripura,2024,Vikram Gupta,BJP,94746
Telangana,2019,Anita Menon,BJP,663766
Bihar,2014,Deepak Chawla,AITC,212958
Himachal Pradesh,2024,Pallavi Sharma,AITC,584581
Madhya Pradesh,2019,Kiran Rao,INC,599899
Rajasthan,2019,Rajesh Nair,SP,548873
Punjab,2024,Sonal Tiwari,Independent,441634
Sikkim,2019,Alok Verma,AITC,358581
Sikkim,2014,Meena Chopra,Independent,498556
Odisha,2019,Sonal Tiwari,Independent,395613
Uttarakhand,2014,Meena Chopra,BJP,484207
Bihar,2014,Manoj Singh,BJP,500543
Goa,2014,Kiran Rao,AITC,437383
Nagaland,2014,Sonal Tiwari,SP,496436
Telangana,2014,Anita Menon,SP,679667
Arunachal Pradesh,2024,Ramesh Gowda,SP,294207
Himachal Pradesh,2014,Karthik Reddy,BJP,684377
Mizoram,2019,Rajesh Nair,Independent,575090
Tamil Nadu,2024,Neha Kulkarni,SP,249330
Tamil Nadu,2019,Rajesh Nair,SP,506374
Andhra Pradesh,2024,Vikram Gupta,AITC,380861
Madhya Pradesh,2019,Kiran Rao,AITC,240380
Uttarakhand,2024,Anita Menon,Independent,582808
Rajasthan,2014,Sonal Tiwari,AITC,671908
Maharashtra,2019,Suresh Patel,BJP,61035
Tripura,2024,Manoj Singh,AITC,256307
Karnataka,2019,Vinod Joshi,AITC,628760
West Bengal,2014,Karthik Reddy,SP,392088
Rajasthan,2019,Sonal Tiwari,Independent,168606
Tamil Nadu,2024,Vikram Gupta,SP,417186
Meghalaya,2019,Suresh Patel,Independent,472676
Kerala,2019,Anita Menon,SP,287453
Bihar,2024,Ramesh Gowda,AITC,604306
West Bengal,2024,Meena Chopra,BJP,530982
Nagaland,2019,Manoj Singh,AITC,321583
Maharashtra,2024,Kiran Rao,BJP,572229
Uttar Pradesh,2024,Ramesh Gowda,Independent,698535
Tripura,2014,Pooja Desai,Independent,447308
Assam,2024,Meena Chopra,SP,259950
Rajasthan,2014,Vinod Joshi,BJP,495191
Uttar Pradesh,2024,Pooja Desai,AITC,381592
Kerala,2014,Prakash Yadav,INC,685112
Rajasthan,2014,Vinod Joshi,BJP,467841
Maharashtra,2014,Prakash Yadav,Independent,84327
Kerala,2024,Rajiv Das,BJP,687511
Chhattisgarh,2019,Kiran Rao,INC,421278
Assam,2024,Neha Kulkarni,SP,73219
Jharkhand,2024,Karthik Reddy,Independent,302742
Haryana,2014,Alok Verma,AITC,263961
Manipur,2014,Meena Chopra,BJP,259625
Arunachal Pradesh,2019,Ramesh Gowda,INC,482818
Nagaland,2019,Pallavi Sharma,AITC,429841
Kerala,2024,Neha Kulkarni,AITC,264255
Chhattisgarh,2019,Prakash Yadav,INC,683929
Odisha,2014,Vinod Joshi,AITC,117572
Tamil Nadu,2024,Rajesh Nair,SP,218147
Uttarakhand,2024,Amit Sharma,AITC,406286
Madhya Pradesh,2024,Ramesh Gowda,INC,317288
Gujarat,2014,Simran Kaur,Independent,243645
Kerala,2014,Amit Sharma,BJP,412491
Delhi,2019,Rajiv Das,AITC,491327
Tripura,2019,Anita Menon,SP,256308
Andhra Pradesh,2024,Prakash Yadav,Independent,542108
Chhattisgarh,2024,Amit Sharma,BJP,365628
Jharkhand,2024,Kiran Rao,Independent,596925
Himachal Pradesh,2014,Anita Menon,SP,444190
Tripura,2014,Vinod Joshi,BJP,165364
Gujarat,2024,Anita Menon,INC,228931
Manipur,2019,Rajesh Nair,INC,573265
Goa,2019,Pooja Desai,SP,684444
Maharashtra,2024,Anita Menon,BJP,178501
Rajasthan,2024,Anita Menon,SP,248918
Rajasthan,2019,Manoj Singh,SP,543893
Nagaland,2014,Prakash Yadav,BJP,586804
Uttarakhand,2019,Pallavi Sharma,SP,173393
Nagaland,2024,Neha Kulkarni,SP,107577
Haryana,2019,Vinod Joshi,Independent,237416
Chhattisgarh,2019,Pooja Desai,INC,133998
Haryana,2014,Manoj Singh,Independent,540592
Bihar,2019,Vinod Joshi,BJP,176465
Uttarakhand,2024,Suresh Patel,SP,482278
Himachal Pradesh,2019,Karthik Reddy,AITC,82090
Maharashtra,2014,Alok Verma,INC,143884
Delhi,2014,Vikram Gupta,SP,533246
Gujarat,2019,Karthik Reddy,AITC,102888
Arunachal Pradesh,2024,Sonal Tiwari,INC,669254
Himachal Pradesh,2024,Simran Kaur,AITC,273480
Punjab,2014,Prakash Yadav,BJP,611188
Manipur,2019,Pallavi Sharma,SP,496348
Kerala,2024,Neha Kulkarni,Independent,477994
Himachal Pradesh,2014,Kiran Rao,Independent,695273
Karnataka,2019,Vikram Gupta,SP,200016
Arunachal Pradesh,2014,Kiran Rao,BJP,375055
Karnataka,2014,Deepak Chawla,BJP,241337
Tamil Nadu,2019,Pooja Desai,BJP,273913
Nagaland,2024,Vikram Gupta,Independent,508662
Manipur,2024,Pallavi Sharma,Independent,94987
Telangana,2024,Prakash Yadav,Independent,106638
Karnataka,2014,Rajiv Das,AITC,482698
West Bengal,2019,Alok Verma,AITC,489821
Assam,2014,Amit Sharma,AITC,193110
Tripura,2019,Pooja Desai,SP,492123
Nagaland,2014,Sonal Tiwari,Independent,311891
Mizoram,2019,Neha Kulkarni,INC,374657
Maharashtra,2024,Kiran Rao,INC,573204
Odisha,2019,Pallavi Sharma,SP,539042
Karnataka,2019,Meena Chopra,SP,259738
Punjab,2014,Sonal Tiwari,INC,99392
Haryana,2024,Alok Verma,BJP,530831
Punjab,2024,Meena Chopra,SP,218036
Gujarat,2024,Rajesh Nair,INC,155169
Chhattisgarh,2014,Kiran Rao,BJP,682412
Himachal Pradesh,2014,Kiran Rao,INC,215750
Assam,2019,Sonal Tiwari,INC,374554
Jharkhand,2019,Karthik Reddy,INC,73201
Odisha,2019,Neha Kulkarni,Independent,125656
Maharashtra,2019,Rajesh Nair,SP,584454
Karnataka,2019,Meena Chopra,Independent,109801
West Bengal,2024,Suresh Patel,Independent,161305
Manipur,2024,Deepak Chawla,INC,66460
Assam,2024,Rajiv Das,BJP,191532
Mizoram,2014,Deepak Chawla,AITC,137162
Gujarat,2014,Ramesh Gowda,AITC,178888
Manipur,2014,Deepak Chawla,Independent,259386
Chhattisgarh,2019,Anita Menon,AITC,222239
Chhattisgarh,2014,Pooja Desai,Independent,531014
Goa,2019,Vikram Gupta,INC,535027
Delhi,2014,Amit Sharma,SP,406013
Nagaland,2019,Amit Sharma,INC,253892
Jharkhand,2024,Pallavi Sharma,BJP,338616
West Bengal,2024,Prakash Yadav,AITC,566943
Assam,2024,Rajesh Nair,BJP,228008
Delhi,2014,Rajiv Das,INC,689447
Delhi,2024,Vikram Gupta,AITC,218848
Odisha,2014,Kiran Rao,INC,561818
Maharashtra,2014,Manoj Singh,AITC,304452
Goa,2014,Anita Menon,INC,148796
Punjab,2024,Kiran Rao,BJP,63670
Delhi,2019,Sonal Tiwari,BJP,607593
Madhya Pradesh,2019,Suresh Patel,INC,148995
Manipur,2014,Pooja Desai,SP,108029
Delhi,2014,Rajesh Nair,BJP,676467
Karnataka,2019,Simran Kaur,Independent,98717
Odisha,2014,Deepak Chawla,AITC,559792
Rajasthan,2019,Anita Menon,SP,616138
Bihar,2024,Deepak Chawla,SP,184766
Punjab,2024,Prakash Yadav,BJP,426307
Goa,2024,Neha Kulkarni,Independent,491948
Telangana,2024,Anita Menon,SP,335873
Mizoram,2014,Karthik Reddy,INC,498584
Assam,2019,Simran Kaur,AITC,536234
Haryana,2024,Sonal Tiwari,SP,55382
Assam,2019,Sonal Tiwari,SP,692607
Meghalaya,2019,Pallavi Sharma,SP,419861
Kerala,2014,Deepak Chawla,BJP,276801
Delhi,2019,Anita Menon,Independent,175820
West Bengal,2024,Rajiv Das,INC,242692
Arunachal Pradesh,2024,Manoj Singh,Independent,352237
Manipur,2014,Alok Verma,BJP,81939
Gujarat,2019,Kiran Rao,SP,489637
Manipur,2014,Pallavi Sharma,BJP,299830
Telangana,2019,Simran Kaur,INC,415915
Kerala,2024,Alok Verma,BJP,76555
Haryana,2019,Simran Kaur,BJP,260850
Arunachal Pradesh,2019,Anita Menon,SP,389371
Rajasthan,2014,Prakash Yadav,SP,159589
Uttar Pradesh,2014,Amit Sharma,Independent,146111
Maharashtra,2014,Neha Kulkarni,INC,346154
Goa,2019,Meena Chopra,SP,197190
Arunachal Pradesh,2019,Karthik Reddy,INC,234379
Maharashtra,2024,Vikram Gupta,AITC,207915
Mizoram,2024,Amit Sharma,INC,479094
Andhra Pradesh,2014,Alok Verma,Independent,223808
Telangana,2019,Pooja Desai,INC,92873
Meghalaya,2014,Sonal Tiwari,Independent,306848
Odisha,2014,Prakash Yadav,SP,660709
Himachal Pradesh,2019,Deepak Chawla,BJP,327764
Bihar,2019,Pallavi Sharma,AITC,617317
Delhi,2024,Alok Verma,AITC,517902
Nagaland,2014,Deepak Chawla,INC,595892
West Bengal,2019,Rajiv Das,SP,111977
Gujarat,2024,Deepak Chawla,SP,269556
Andhra Pradesh,2019,Deepak Chawla,AITC,143284
Goa,2019,Prakash Yadav,Independent,514148
Delhi,2019,Suresh Patel,BJP,405994
Meghalaya,2024,Amit Sharma,INC,387689
Tripura,2019,Manoj Singh,AITC,472659
Tripura,2014,Vinod Joshi,SP,76549
Arunachal Pradesh,2019,Sonal Tiwari,INC,92757
Kerala,2014,Pallavi Sharma,INC,683058
Tripura,2014,Vikram Gupta,AITC,174868
Uttarakhand,2024,Suresh Patel,INC,592912
Himachal Pradesh,2019,Kiran Rao,AITC,264385
Punjab,2014,Sonal Tiwari,AITC,287182
Kerala,2014,Rajesh Nair,AITC,552944
Kerala,2024,Vikram Gupta,BJP,127574
Uttar Pradesh,2014,Amit Sharma,SP,437932
Delhi,2024,Amit Sharma,BJP,441361
Sikkim,2019,Pallavi Sharma,Independent,160754
Meghalaya,2019,Karthik Reddy,AITC,450724
Tamil Nadu,2019,Alok Verma,AITC,332255
Haryana,2019,Ramesh Gowda,SP,614303
Odisha,2024,Sonal Tiwari,Independent,549380
Himachal Pradesh,2019,Suresh Patel,BJP,381384
Sikkim,2024,Sonal Tiwari,BJP,112228
Telangana,2019,Suresh Patel,SP,131534
Tamil Nadu,2024,Manoj Singh,BJP,332294
Gujarat,2014,Meena Chopra,BJP,122399
Bihar,2024,Vinod Joshi,INC,436896
Sikkim,2014,Ramesh Gowda,INC,668030
Maharashtra,2019,Deepak Chawla,SP,356920
Madhya Pradesh,2014,Meena Chopra,INC,597948
Bihar,2019,Karthik Reddy,BJP,500785
Haryana,2024,Sonal Tiwari,BJP,676495
Himachal Pradesh,2014,Meena Chopra,Independent,569361
Odisha,2024,Rajesh Nair,INC,645129
Manipur,2019,Amit Sharma,AITC,627372
Meghalaya,2024,Ramesh Gowda,SP,218479
Karnataka,2019,Manoj Singh,INC,156068
Tamil Nadu,2019,Simran Kaur,BJP,100874
Maharashtra,2019,Deepak Chawla,SP,453651
Tamil Nadu,2024,Meena Chopra,INC,185044
Goa,2024,Rajesh Nair,AITC,665521
Maharashtra,2014,Vinod Joshi,BJP,493534
Rajasthan,2014,Suresh Patel,INC,638039
Tripura,2014,Neha Kulkarni,SP,207268
Goa,2019,Prakash Yadav,SP,168140
Kerala,2019,Vinod Joshi,BJP,565780
Uttarakhand,2024,Anita Menon,AITC,473590
Nagaland,2024,Sonal Tiwari,SP,600436
Assam,2019,Rajiv Das,BJP,356610
Sikkim,2024,Amit Sharma,SP,553458
Delhi,2019,Pooja Desai,Independent,179167
Rajasthan,2024,Amit Sharma,Independent,59995
Mizoram,2014,Suresh Patel,Independent,207245
Delhi,2019,Karthik Reddy,AITC,162802
Punjab,2024,Rajesh Nair,INC,188783
